name,name_kn,brand,unit,mrp,stock,category,cost
Sona Masoori Rice,ಸೋನಾ ಮಸೂರಿ ಅಕ್ಕಿ,,5 kg,,,Rice & Atta,
Sona Masoori Rice,ಸೋನಾ ಮಸೂರಿ ಅಕ್ಕಿ,,25 kg,,,Rice & Atta,
Basmati Rice,ಬಾಸುಮತಿ ಅಕ್ಕಿ,,1 kg,,,Rice & Atta,
Idli Rice,ಇಡ್ಲಿ ಅಕ್ಕಿ,,5 kg,,,Rice & Atta,
Whole Wheat Atta,ಗೋಧಿ ಹಿಟ್ಟು,,5 kg,,,Rice & Atta,
Whole Wheat Atta,ಗೋಧಿ ಹಿಟ್ಟು,,10 kg,,,Rice & Atta,
Maida,ಮೈದಾ,,500 g,,,Rice & Atta,
Rava / Sooji,ರವೆ,,500 g,,,Rice & Atta,
Poha / Avalakki,ಅವಲಕ್ಕಿ,,500 g,,,Rice & Atta,
Ragi Flour,ರಾಗಿ ಹಿಟ್ಟು,,1 kg,,,Rice & Atta,
Toor Dal,ತೊಗರಿ ಬೇಳೆ,,1 kg,,,Dals & Pulses,
Urad Dal,ಉದ್ದಿನ ಬೇಳೆ,,500 g,,,Dals & Pulses,
Moong Dal,ಹೆಸರು ಬೇಳೆ,,500 g,,,Dals & Pulses,
Chana Dal,ಕಡಲೆ ಬೇಳೆ,,500 g,,,Dals & Pulses,
Masoor Dal,ಮಸೂರ ಬೇಳೆ,,500 g,,,Dals & Pulses,
Kabuli Chana,ಕಾಬೂಲಿ ಕಡಲೆ,,500 g,,,Dals & Pulses,
Green Moong,ಹೆಸರು ಕಾಳು,,500 g,,,Dals & Pulses,
Groundnut,ಕಡಲೆಕಾಯಿ,,500 g,,,Dals & Pulses,
Sunflower Oil,ಸೂರ್ಯಕಾಂತಿ ಎಣ್ಣೆ,,1 L,,,Oil & Ghee,
Sunflower Oil,ಸೂರ್ಯಕಾಂತಿ ಎಣ್ಣೆ,,5 L,,,Oil & Ghee,
Groundnut Oil,ಕಡಲೆಕಾಯಿ ಎಣ್ಣೆ,,1 L,,,Oil & Ghee,
Coconut Oil,ತೆಂಗಿನ ಎಣ್ಣೆ,,500 ml,,,Oil & Ghee,
Ghee,ತುಪ್ಪ,,500 ml,,,Oil & Ghee,
Salt,ಉಪ್ಪು,,1 kg,,,Masala & Spices,
Sugar,ಸಕ್ಕರೆ,,1 kg,,,Masala & Spices,
Jaggery,ಬೆಲ್ಲ,,1 kg,,,Masala & Spices,
Turmeric Powder,ಅರಿಶಿನ ಪುಡಿ,,100 g,,,Masala & Spices,
Chilli Powder,ಮೆಣಸಿನ ಪುಡಿ,,200 g,,,Masala & Spices,
Coriander Powder,ಕೊತ್ತಂಬರಿ ಪುಡಿ,,100 g,,,Masala & Spices,
Cumin Seeds,ಜೀರಿಗೆ,,100 g,,,Masala & Spices,
Mustard Seeds,ಸಾಸಿವೆ,,100 g,,,Masala & Spices,
Sambar Powder,ಸಾಂಬಾರ್ ಪುಡಿ,,100 g,,,Masala & Spices,
Rasam Powder,ರಸಂ ಪುಡಿ,,100 g,,,Masala & Spices,
Tamarind,ಹುಣಸೆ ಹಣ್ಣು,,500 g,,,Masala & Spices,
Milk,ಹಾಲು,Nandini,500 ml,,,Dairy & Bread,
Curd,ಮೊಸರು,Nandini,400 g,,,Dairy & Bread,
Butter,ಬೆಣ್ಣೆ,Nandini,100 g,,,Dairy & Bread,
Paneer,ಪನೀರ್,Nandini,200 g,,,Dairy & Bread,
Bread,ಬ್ರೆಡ್,,400 g,,,Dairy & Bread,
Eggs,ಮೊಟ್ಟೆ,,6 pcs,,,Dairy & Bread,
Tea Powder,ಚಹಾ ಪುಡಿ,,250 g,,,Tea & Coffee,
Tea Powder,ಚಹಾ ಪುಡಿ,,500 g,,,Tea & Coffee,
Coffee Powder,ಕಾಫಿ ಪುಡಿ,,200 g,,,Tea & Coffee,
Instant Coffee,ಇನ್ಸ್ಟಂಟ್ ಕಾಫಿ,,50 g,,,Tea & Coffee,
Health Drink Powder,ಆರೋಗ್ಯ ಪಾನೀಯ,,500 g,,,Tea & Coffee,
Biscuits - Glucose,ಬಿಸ್ಕತ್ತು,,300 g,,,Snacks & Biscuits,
Biscuits - Marie,ಮೇರಿ ಬಿಸ್ಕತ್ತು,,250 g,,,Snacks & Biscuits,
Biscuits - Cream,ಕ್ರೀಮ್ ಬಿಸ್ಕತ್ತು,,150 g,,,Snacks & Biscuits,
Rusk,ರಸ್ಕ್,,300 g,,,Snacks & Biscuits,
Namkeen Mixture,ಮಿಕ್ಸ್ಚರ್,,200 g,,,Snacks & Biscuits,
