slug,name,name_kn,unit,category,brand
sona-masoori-rice-5-kg,Sona Masoori Rice,ಸೋನಾ ಮಸೂರಿ ಅಕ್ಕಿ,5 kg,Rice & Atta,
sona-masoori-rice-25-kg,Sona Masoori Rice,ಸೋನಾ ಮಸೂರಿ ಅಕ್ಕಿ,25 kg,Rice & Atta,
basmati-rice-1-kg,Basmati Rice,ಬಾಸುಮತಿ ಅಕ್ಕಿ,1 kg,Rice & Atta,
idli-rice-5-kg,Idli Rice,ಇಡ್ಲಿ ಅಕ್ಕಿ,5 kg,Rice & Atta,
whole-wheat-atta-5-kg,Whole Wheat Atta,ಗೋಧಿ ಹಿಟ್ಟು,5 kg,Rice & Atta,
whole-wheat-atta-10-kg,Whole Wheat Atta,ಗೋಧಿ ಹಿಟ್ಟು,10 kg,Rice & Atta,
maida-500-g,Maida,ಮೈದಾ,500 g,Rice & Atta,
rava-sooji-500-g,Rava / Sooji,ರವೆ,500 g,Rice & Atta,
poha-avalakki-500-g,Poha / Avalakki,ಅವಲಕ್ಕಿ,500 g,Rice & Atta,
ragi-flour-1-kg,Ragi Flour,ರಾಗಿ ಹಿಟ್ಟು,1 kg,Rice & Atta,
toor-dal-1-kg,Toor Dal,ತೊಗರಿ ಬೇಳೆ,1 kg,Dals & Pulses,
urad-dal-500-g,Urad Dal,ಉದ್ದಿನ ಬೇಳೆ,500 g,Dals & Pulses,
moong-dal-500-g,Moong Dal,ಹೆಸರು ಬೇಳೆ,500 g,Dals & Pulses,
chana-dal-500-g,Chana Dal,ಕಡಲೆ ಬೇಳೆ,500 g,Dals & Pulses,
masoor-dal-500-g,Masoor Dal,ಮಸೂರ ಬೇಳೆ,500 g,Dals & Pulses,
kabuli-chana-500-g,Kabuli Chana,ಕಾಬೂಲಿ ಕಡಲೆ,500 g,Dals & Pulses,
green-moong-500-g,Green Moong,ಹೆಸರು ಕಾಳು,500 g,Dals & Pulses,
groundnut-500-g,Groundnut,ಕಡಲೆಕಾಯಿ,500 g,Dals & Pulses,
sunflower-oil-1-l,Sunflower Oil,ಸೂರ್ಯಕಾಂತಿ ಎಣ್ಣೆ,1 L,Oil & Ghee,
sunflower-oil-5-l,Sunflower Oil,ಸೂರ್ಯಕಾಂತಿ ಎಣ್ಣೆ,5 L,Oil & Ghee,
groundnut-oil-1-l,Groundnut Oil,ಕಡಲೆಕಾಯಿ ಎಣ್ಣೆ,1 L,Oil & Ghee,
coconut-oil-500-ml,Coconut Oil,ತೆಂಗಿನ ಎಣ್ಣೆ,500 ml,Oil & Ghee,
ghee-500-ml,Ghee,ತುಪ್ಪ,500 ml,Oil & Ghee,
