slug,name,name_kn,unit,category,brand
biscuits-glucose-300-g,Biscuits - Glucose,ಬಿಸ್ಕತ್ತು,300 g,Snacks & Biscuits,
biscuits-marie-250-g,Biscuits - Marie,ಮೇರಿ ಬಿಸ್ಕತ್ತು,250 g,Snacks & Biscuits,
biscuits-cream-150-g,Biscuits - Cream,ಕ್ರೀಮ್ ಬಿಸ್ಕತ್ತು,150 g,Snacks & Biscuits,
rusk-300-g,Rusk,ರಸ್ಕ್,300 g,Snacks & Biscuits,
namkeen-mixture-200-g,Namkeen Mixture,ಮಿಕ್ಸ್ಚರ್,200 g,Snacks & Biscuits,
potato-chips-52-g,Potato Chips,ಆಲೂಗಡ್ಡೆ ಚಿಪ್ಸ್,52 g,Snacks & Biscuits,
noodles-70-g,Noodles,ನೂಡಲ್ಸ್,70 g,Snacks & Biscuits,
vermicelli-400-g,Vermicelli,ಶಾವಿಗೆ,400 g,Snacks & Biscuits,
onion-1-kg,Onion,ಈರುಳ್ಳಿ,1 kg,Fruits & Vegetables,
potato-1-kg,Potato,ಆಲೂಗಡ್ಡೆ,1 kg,Fruits & Vegetables,
tomato-1-kg,Tomato,ಟೊಮ್ಯಾಟೊ,1 kg,Fruits & Vegetables,
green-chilli-250-g,Green Chilli,ಹಸಿ ಮೆಣಸಿನಕಾಯಿ,250 g,Fruits & Vegetables,
ginger-250-g,Ginger,ಶುಂಠಿ,250 g,Fruits & Vegetables,
garlic-250-g,Garlic,ಬೆಳ್ಳುಳ್ಳಿ,250 g,Fruits & Vegetables,
coriander-leaves-1-bunch,Coriander Leaves,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,1 bunch,Fruits & Vegetables,
curry-leaves-1-bunch,Curry Leaves,ಕರಿಬೇವು,1 bunch,Fruits & Vegetables,
banana-6-pcs,Banana,ಬಾಳೆಹಣ್ಣು,6 pcs,Fruits & Vegetables,
lemon-4-pcs,Lemon,ನಿಂಬೆಹಣ್ಣು,4 pcs,Fruits & Vegetables,
