slug,name,name_kn,unit,category,brand
detergent-powder-1-kg,Detergent Powder,ಪುಡಿ ಸೋಪು,1 kg,Cleaning,
detergent-bar-250-g,Detergent Bar,ಸೋಪು ಬಾರ್,250 g,Cleaning,
dishwash-bar-300-g,Dishwash Bar,ಪಾತ್ರೆ ಸೋಪು,300 g,Cleaning,
dishwash-liquid-500-ml,Dishwash Liquid,ಪಾತ್ರೆ ದ್ರವ,500 ml,Cleaning,
floor-cleaner-1-l,Floor Cleaner,ನೆಲ ಕ್ಲೀನರ್,1 L,Cleaning,
toilet-cleaner-500-ml,Toilet Cleaner,ಟಾಯ್ಲೆಟ್ ಕ್ಲೀನರ್,500 ml,Cleaning,
phenyl-1-l,Phenyl,ಫಿನಾಯಿಲ್,1 L,Cleaning,
bathing-soap-100-g,Bathing Soap,ಸ್ನಾನದ ಸೋಪು,100 g,Personal Care,
shampoo-sachet-5-ml,Shampoo Sachet,ಶಾಂಪೂ,5 ml,Personal Care,
shampoo-bottle-180-ml,Shampoo Bottle,ಶಾಂಪೂ,180 ml,Personal Care,
toothpaste-100-g,Toothpaste,ಟೂತ್‌ಪೇಸ್ಟ್,100 g,Personal Care,
toothbrush-1-pc,Toothbrush,ಟೂತ್‌ಬ್ರಷ್,1 pc,Personal Care,
hair-oil-100-ml,Hair Oil,ಕೂದಲಿನ ಎಣ್ಣೆ,100 ml,Personal Care,
talcum-powder-100-g,Talcum Powder,ಪೌಡರ್,100 g,Personal Care,
sanitary-pads-8-pcs,Sanitary Pads,ಸ್ಯಾನಿಟರಿ ಪ್ಯಾಡ್,8 pcs,Personal Care,
shaving-cream-70-g,Shaving Cream,ಶೇವಿಂಗ್ ಕ್ರೀಮ್,70 g,Personal Care,
agarbatti-1-pack,Agarbatti,ಅಗರಬತ್ತಿ,1 pack,Household,
matchbox-1-pc,Matchbox,ಬೆಂಕಿಪೊಟ್ಟಣ,1 pc,Household,
candle-1-pack,Candle,ಮೇಣದಬತ್ತಿ,1 pack,Household,
garbage-bags-30-pcs,Garbage Bags,ಕಸದ ಚೀಲ,30 pcs,Household,
aluminium-foil-9-m,Aluminium Foil,ಅಲ್ಯೂಮಿನಿಯಂ ಫಾಯಿಲ್,9 m,Household,
