slug,name,name_kn,unit,category,brand
maida-500-g,Maida,ಮೈದಾ,500 g,Rice & Atta,
rava-sooji-500-g,Rava / Sooji,ರವೆ,500 g,Rice & Atta,
poha-avalakki-500-g,Poha / Avalakki,ಅವಲಕ್ಕಿ,500 g,Rice & Atta,
ragi-flour-1-kg,Ragi Flour,ರಾಗಿ ಹಿಟ್ಟು,1 kg,Rice & Atta,
toor-dal-1-kg,Toor Dal,ತೊಗರಿ ಬೇಳೆ,1 kg,Dals & Pulses,
urad-dal-500-g,Urad Dal,ಉದ್ದಿನ ಬೇಳೆ,500 g,Dals & Pulses,
moong-dal-500-g,Moong Dal,ಹೆಸರು ಬೇಳೆ,500 g,Dals & Pulses,
chana-dal-500-g,Chana Dal,ಕಡಲೆ ಬೇಳೆ,500 g,Dals & Pulses,
masoor-dal-500-g,Masoor Dal,ಮಸೂರ ಬೇಳೆ,500 g,Dals & Pulses,
kabuli-chana-500-g,Kabuli Chana,ಕಾಬೂಲಿ ಕಡಲೆ,500 g,Dals & Pulses,
green-moong-500-g,Green Moong,ಹೆಸರು ಕಾಳು,500 g,Dals & Pulses,
groundnut-500-g,Groundnut,ಕಡಲೆಕಾಯಿ,500 g,Dals & Pulses,
sunflower-oil-1-l,Sunflower Oil,ಸೂರ್ಯಕಾಂತಿ ಎಣ್ಣೆ,1 L,Oil & Ghee,
sunflower-oil-5-l,Sunflower Oil,ಸೂರ್ಯಕಾಂತಿ ಎಣ್ಣೆ,5 L,Oil & Ghee,
groundnut-oil-1-l,Groundnut Oil,ಕಡಲೆಕಾಯಿ ಎಣ್ಣೆ,1 L,Oil & Ghee,
coconut-oil-500-ml,Coconut Oil,ತೆಂಗಿನ ಎಣ್ಣೆ,500 ml,Oil & Ghee,
ghee-500-ml,Ghee,ತುಪ್ಪ,500 ml,Oil & Ghee,
