slug,name,name_kn,unit,category,brand
mustard-seeds-100-g,Mustard Seeds,ಸಾಸಿವೆ,100 g,Masala & Spices,
sambar-powder-100-g,Sambar Powder,ಸಾಂಬಾರ್ ಪುಡಿ,100 g,Masala & Spices,
rasam-powder-100-g,Rasam Powder,ರಸಂ ಪುಡಿ,100 g,Masala & Spices,
tamarind-500-g,Tamarind,ಹುಣಸೆ ಹಣ್ಣು,500 g,Masala & Spices,
milk-500-ml,Milk,ಹಾಲು,500 ml,Dairy & Bread,Nandini
curd-400-g,Curd,ಮೊಸರು,400 g,Dairy & Bread,Nandini
butter-100-g,Butter,ಬೆಣ್ಣೆ,100 g,Dairy & Bread,Nandini
paneer-200-g,Paneer,ಪನೀರ್,200 g,Dairy & Bread,Nandini
bread-400-g,Bread,ಬ್ರೆಡ್,400 g,Dairy & Bread,
eggs-6-pcs,Eggs,ಮೊಟ್ಟೆ,6 pcs,Dairy & Bread,
tea-powder-250-g,Tea Powder,ಚಹಾ ಪುಡಿ,250 g,Tea & Coffee,
tea-powder-500-g,Tea Powder,ಚಹಾ ಪುಡಿ,500 g,Tea & Coffee,
coffee-powder-200-g,Coffee Powder,ಕಾಫಿ ಪುಡಿ,200 g,Tea & Coffee,
instant-coffee-50-g,Instant Coffee,ಇನ್ಸ್ಟಂಟ್ ಕಾಫಿ,50 g,Tea & Coffee,
health-drink-powder-500-g,Health Drink Powder,ಆರೋಗ್ಯ ಪಾನೀಯ,500 g,Tea & Coffee,
